x,y_bed
0.00577,-3.297230225459888e-05
0.01729,0.000894049857186525
0.02874,0.001755888835108581
0.04012,0.0018723463356791507
0.05143,0.0015505064785431462
0.06268,0.0015259219351895714
0.07387,0.0006974948357865341
0.08499,-7.027012642289872e-05
0.09604,-0.0010446595298392292
0.10703,-0.0011977136353941789
0.11796,-0.0022674575433644195
0.12883,-0.002804509585947468
0.13963,-0.003077744196674461
0.15036,-0.00315515405914277
0.16104,-0.0032035362161585714
0.17165,-0.0032434510283058503
0.1822,-0.0032802040753669506
0.19269,-0.003311773235474927
0.20312,-0.0033311301618269527
0.21349,-0.0033591967320491813
0.2238,-0.0033548159176156594
0.23405,-0.003348729318302659
0.24424,-0.003333947563761749
0.25437,-0.0033184092385096092
0.26444,-0.0032788682416508433
0.27445,-0.003234593437951707
0.28441,-0.003171260438825294
0.2943,-0.0031061582308041912
0.30414,-0.003028005323861021
0.31393,-0.00295121877091943
0.32365,-0.0028637144705003265
0.33332,-0.0027614891202091566
0.34293,-0.0026526367703701534
0.35249,-0.0024785409608959657
0.36199,-0.0020542602419302567
0.37144,-0.0008746780558807383
0.38083,-9.992075342114836e-05
0.39017,0.0004235324644436864
0.39945,0.0007190627894206325
0.40868,0.0013381040170597127
0.41785,0.0015931238612940412
0.42697,0.0015487009506786188
0.43604,0.0015249882293420138
0.44506,0.0012834580798406442
0.45402,0.0009606026905122518
0.46293,0.0010808839535521113
0.47179,0.001263843058022655
0.4806,0.0014084496192754087
0.48936,0.0014749007112210485
0.49807,0.0015060732429833957
0.50672,0.0015006490054424435
0.51533,0.001491447356347932
0.52388,0.0014295252472712387
0.53239,0.0014090429195220803
0.54085,0.0014063229418527902
0.54925,0.0014135502922490999
0.55761,0.0014221186889286999
0.56592,0.0014258988124298269
0.57418,0.0014237448837382423
0.5824,0.001418841450936423
0.59056,0.0014147362550577841
0.59868,0.0014090764301630527
0.60675,0.0014075044359314248
0.61478,0.0014074802566689305
0.62276,0.0014070407258336005
0.63069,0.0014068626221514068
0.63857,0.0014003096647220747
0.64641,0.0013880828803494894
0.65421,0.0013631000422619425
0.66196,0.0013220221756626072
0.66966,0.001269933524126941
0.67732,0.0012193215061915735
0.68494,0.0011515052021135424
0.69251,0.0010756903209353673
0.70003,0.001019833510797433
0.70752,0.000964728978426657
0.71496,0.0009010246568605686
0.72235,0.00085419836918413
0.72971,0.0008130167969467822
0.73702,0.0007934374410600884
0.74428,0.000776566911353268
0.75151,0.0007553003108353848
0.75869,0.000728489396953706
0.76584,0.0006657479601832347
0.77294,0.0005771188887053566
0.78,0.00042449058243984556
0.78701,0.00021772055267261852
0.79399,0.00010014737110836905
0.80093,2.2985744439489868e-05
0.80783,-3.188417904050121e-05
0.81468,-7.681990438557435e-05
0.8215,-0.00011035462602878763
0.82828,-0.00013868007954112582
0.83502,-0.0001823642533173354
0.84172,-0.00023617136076165078
0.84838,-0.00032021419549151955
0.855,-0.00043239872078011166
0.86158,-0.0006137662321219427
0.86812,-0.0008040103312167785
0.87463,-0.0009258422166994796
0.8811,-0.001059294408095286
0.88753,-0.0011589747757742614
0.89392,-0.00119090226463327
0.90028,-0.0013844909884558017
0.9066,-0.0018303502697548588
0.91288,-0.002057425893018627
0.91913,-0.0023055583975466294
0.92534,-0.002330437391233525
0.93152,-0.0034710291887678647
0.93765,-0.003509158057528613
0.94376,-0.004631628590733914
0.94983,-0.004694444969477341
0.95586,-0.0055526888204967435
0.96185,-0.0058666697767804366
0.96782,-0.005937412972188039
0.97374,-0.007018098929081045
0.97964,-0.00710368738820048
